CustomerID,Recency,Monetry,Frequency
12346,3235,77183.6,1
12347,2911,4309.999999999997,7
12348,2985,1797.24,4
12349,2928,1757.55,1
12350,3219,334.40000000000003,1
12352,2945,2506.040000000001,8
12353,3113,89.0,1
12354,3142,1079.4,1
12355,3124,459.4,1
12356,2932,2811.4300000000007,3
12357,2942,6207.669999999996,1
12358,2911,1168.06,2
12359,2967,6372.580000000005,4
12360,2961,2662.0600000000004,3
12361,3197,189.89999999999998,1
12362,2912,5226.230000000003,10
12363,3019,552.0,2
12364,2917,1313.1000000000001,4
12365,3201,641.38,2
12367,2913,168.9,1
12370,2960,3545.689999999998,4
12371,2954,1887.9600000000003,2
12372,2981,1298.0400000000002,3
12373,3221,364.6,1
12374,2934,742.93,1
12375,2920,457.5000000000001,2
12377,3224,1628.1199999999997,2
12378,3039,4008.6200000000013,1
12379,2991,852.2399999999997,2
12380,2931,2724.81,4
12381,2914,1845.3100000000006,5
12383,3094,1850.5599999999997,5
12384,2938,585.2700000000001,2
12386,3247,401.90000000000003,2
12388,2925,2780.6600000000003,6
12390,2989,549.8399999999999,1
12391,2931,460.88999999999993,1
12393,2981,1582.6000000000004,4
12394,2973,1272.48,2
12395,2928,3018.6299999999987,12
12397,2945,2409.9000000000005,2
12398,2955,1635.6599999999999,1
12399,3029,1108.65,4
12401,3213,84.3,1
12402,3233,225.6,1
12403,2959,427.7,1
12405,3058,1710.3900000000006,1
12406,2931,3415.300000000001,2
12407,2959,1708.1199999999997,5
12408,2942,2888.5500000000006,5
12409,2988,11072.670000000002,3
12410,3218,693.3299999999999,2
12412,2984,1226.8799999999999,3
12413,2976,758.0999999999999,3
12414,3126,562.41,3
12415,2934,124914.52999999975,21
12417,2912,3649.1,9
12418,3022,668.5799999999997,1
12420,2973,600.3900000000001,1
12421,2925,807.0400000000002,4
12422,3005,803.5599999999998,3
12423,2910,1859.3100000000002,8
12424,3072,1760.9599999999998,2
12425,2987,777.1999999999999,1
12426,3104,582.7299999999999,1
12427,2931,825.8000000000002,3
12428,2935,7956.460000000004,9
12429,2918,3750.400000000001,4
12430,2952,256.4,1
12431,2945,6487.449999999999,15
12432,2952,5059.3200000000015,5
12433,2910,13375.869999999992,7
12434,2994,806.14,2
12435,2989,7829.889999999998,2
12436,3009,509.01000000000005,1
12437,2911,4951.409999999997,18
12438,2924,2906.8500000000004,2
12441,3276,173.55,1
12442,2913,172.06,1
12444,2931,5005.46,5
12445,2931,133.4,1
12446,2967,1002.3099999999998,1
12447,3153,476.49,1
12448,2954,449.4500000000001,1
12449,2932,4067.2900000000013,4
12450,3065,197.88,2
12451,2920,9035.519999999999,5
12452,2926,430.57000000000005,2
12453,3044,707.0899999999999,1
12454,2965,3528.34,1
12455,2982,2466.859999999997,6
12456,2953,3181.039999999998,3
12457,2976,2363.2299999999996,7
12458,2980,947.4000000000001,2
